format,arithmetic_type,kernel,storage_layout,access_method,packet_values,rank,strategy_id,decoder,screen_median_ms,selected
bf16_e8m7,fp64,dot,padded,thread_packet,2,8,padded/thread_packet/x2/direct_masked,direct_masked,0.10288806036621534,0
bf16_e8m7,fp64,dot,padded,thread_packet,4,1,padded/thread_packet/x4/native_scalar,native_scalar,0.029012973231028735,1
bf16_e8m7,fp64,dot,padded,thread_packet,4,2,padded/thread_packet/x4/native_packed,native_packed,0.029219865596401204,1
bf16_e8m7,fp64,dot,padded,thread_packet,4,3,padded/thread_packet/x4/direct_branchy,direct_branchy,0.048879044814297549,0
bf16_e8m7,fp64,dot,padded,thread_packet,4,4,padded/thread_packet/x4/prefix_lut_global,prefix_lut_global,0.049931942346144696,0
bf16_e8m7,fp64,dot,padded,thread_packet,4,5,padded/thread_packet/x4/prefix_lut_shared,prefix_lut_shared,0.051444751752471422,0
bf16_e8m7,fp64,dot,padded,thread_packet,4,6,padded/thread_packet/x4/subnormal_lut_global,subnormal_lut_global,0.054819313389500891,0
bf16_e8m7,fp64,dot,padded,thread_packet,4,7,padded/thread_packet/x4/subnormal_lut_shared,subnormal_lut_shared,0.055007495815590772,0
bf16_e8m7,fp64,dot,padded,thread_packet,4,8,padded/thread_packet/x4/direct_masked,direct_masked,0.092184576265133822,0
bf16_e8m7,fp64,dot,padded,thread_packet,8,1,padded/thread_packet/x8/native_packed,native_packed,0.02463123411923018,1
bf16_e8m7,fp64,dot,padded,thread_packet,8,2,padded/thread_packet/x8/native_scalar,native_scalar,0.024817202420658199,1
bf16_e8m7,fp64,dot,padded,thread_packet,8,3,padded/thread_packet/x8/direct_branchy,direct_branchy,0.046121791502560863,0
bf16_e8m7,fp64,dot,padded,thread_packet,8,4,padded/thread_packet/x8/prefix_lut_global,prefix_lut_global,0.046465078225502596,0
bf16_e8m7,fp64,dot,padded,thread_packet,8,5,padded/thread_packet/x8/prefix_lut_shared,prefix_lut_shared,0.048409231631301092,0
bf16_e8m7,fp64,dot,padded,thread_packet,8,6,padded/thread_packet/x8/subnormal_lut_global,subnormal_lut_global,0.053137207290431254,0
bf16_e8m7,fp64,dot,padded,thread_packet,8,7,padded/thread_packet/x8/subnormal_lut_shared,subnormal_lut_shared,0.05341653743227899,0
bf16_e8m7,fp64,dot,padded,thread_packet,8,8,padded/thread_packet/x8/direct_masked,direct_masked,0.086148138703971075,0
bf16_e8m7,fp64,gemv,dense,cooperative_shuffle,2,1,dense/cooperative_shuffle/x2/native_scalar,native_scalar,0.03506296690082631,1
bf16_e8m7,fp64,gemv,dense,cooperative_shuffle,2,2,dense/cooperative_shuffle/x2/prefix_lut_shared,prefix_lut_shared,0.062414976266714245,1
bf16_e8m7,fp64,gemv,dense,cooperative_shuffle,2,3,dense/cooperative_shuffle/x2/direct_branchy,direct_branchy,0.063041485669888375,0
bf16_e8m7,fp64,gemv,dense,cooperative_shuffle,2,4,dense/cooperative_shuffle/x2/prefix_lut_global,prefix_lut_global,0.063348377883556517,0
