distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,samples,median_time_ms,q25_time_ms,q75_time_ms,mad_time_ms,min_time_ms,max_time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,8,1,65536,15,0.005375116731583639,0.0053743960493702,0.005375659148283213,5.88830389064085e-07,0.005374171370166843,0.005376511451407148,131072.0,262144.0,16384.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,1048576,15,0.00687908286478982,0.006876446453493033,0.006882082241684643,3.3051220338737794e-06,0.00686937816107451,0.006891157235672225,2097152.0,4194304.0,2097152.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,134217728,15,0.479297012090683,0.4791779965162277,0.4794124960899353,0.00012001395225524902,0.47906699776649475,0.47955799102783203,268435456.0,536870912.0,268435456.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,16777216,15,0.06643476486206054,0.06642276373776523,0.06645818190141158,1.6147440130051538e-05,0.06638690775090998,0.06647316325794567,33554432.0,67108864.0,33554432.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,4096,15,0.0052679441646187606,0.005267752382807627,0.0052681357084872005,2.236661320910438e-07,0.00526695432301291,0.005268870237582696,8192.0,16384.0,8192.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,65536,15,0.005272242994193571,0.005272142571139048,0.0052725281772843325,2.775996564381364e-07,0.005271209808717291,0.00527454054499247,131072.0,262144.0,131072.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,1048576,15,0.006183290660925798,0.0061809951294371675,0.006184408320078985,1.8053705624397967e-06,0.006177943217888883,0.006186936248828492,2097152.0,4194304.0,2097152.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,134217728,15,0.25917959213256836,0.2591635852024473,0.2592526879803888,3.75221515523938e-05,0.2591310369557348,0.25936772905547045,268435456.0,536870912.0,268435456.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,16777216,15,0.038708178537816676,0.03869374257593482,0.03871586203260598,1.1061615553878412e-05,0.038669256547510154,0.03873528150895655,33554432.0,67108864.0,33554432.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,4096,15,0.005269652593159628,0.005269405132758165,0.005270019976678723,3.9926784005210603e-07,0.005268886417685868,0.005285987834968491,8192.0,16384.0,8192.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,65536,15,0.005270157574234448,0.005269980705173368,0.005270379976210347,1.999787314155635e-07,0.005269788734743554,0.005270756137576991,131072.0,262144.0,131072.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,1048576,15,0.005975907897148653,0.0059685622032141505,0.005978535254879739,4.332063080507084e-06,0.0059616703301636894,0.0059893559058590675,2097152.0,4194304.0,2097152.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,134217728,15,0.15869276574317445,0.15866399825887478,0.1587458722134854,3.6087441951659915e-05,0.15859880853206554,0.15882178570361846,268435456.0,536870912.0,268435456.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,16777216,15,0.026277514719663445,0.026268581513656533,0.026300093001908414,1.0685603965335938e-05,0.026260165380618303,0.026317212911225733,33554432.0,67108864.0,33554432.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,4096,15,0.005367302984902353,0.0053663258299683075,0.005367802851127855,6.971937237358616e-07,0.005365848541259766,0.005387621395515673,8192.0,16384.0,8192.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,65536,15,0.005374727855856802,0.005373010104503594,0.005375650009625475,1.4153436922416038e-06,0.005370624022739782,0.00537679541419088,131072.0,262144.0,131072.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,8,1,1048576,15,0.006665779363428033,0.006641366517484287,0.0066672878931842115,4.028916954001982e-06,0.006638713102504669,0.006685107268694699,2097152.0,4194304.0,2097152.0
