gpu,compute_capability,multiprocessors,cuda_runtime,cuda_driver,dataset,variant,storage_type,arithmetic_type,access_kind,n,algorithmic_bytes,algorithmic_flops,arithmetic_intensity_flop_per_byte,blocks,threads,round,order_in_round,iterations,sample,total_time_ms,giga_elements_per_s,algorithmic_gb_per_s,gflop_per_s
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,14,0.0044074255291807127,0.23233517916985638,1.8586814333588511,0.46467035833971276
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,15,0.0044074051245341058,0.23233625479533021,1.8586900383626417,0.46467250959066042
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,16,0.00440707087698969,0.23235387598291982,1.8588310078633585,0.46470775196583963
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,17,0.0044074007521098324,0.23233648528779891,1.8586918823023912,0.46467297057559781
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,18,0.0044073599428166195,0.23233863657289369,1.8587090925831495,0.46467727314578738
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,19,0.0044072909556780917,0.23234227335972435,1.8587381868777948,0.4646845467194487
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,1,1,7932,0,0.0044063134320865543,0.23239381759438246,1.8591505407550597,0.46478763518876492
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,1,1,7932,1,0.0044062167661573573,0.23239891597367462,1.859191327789397,0.46479783194734925
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,1,1,7932,2,0.0044061643453300811,0.23240168085997451,1.8592134468797961,0.46480336171994902
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,1,1,7932,3,0.0044062369650082339,0.23239785062220011,1.8591828049776009,0.46479570124440023
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,1,1,7932,4,0.0044064226020662936,0.23238805999220732,1.8591044799376586,0.46477611998441465
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,1,1,7932,5,0.0044059868839973759,0.23241104137626611,1.8592883310101289,0.46482208275253223
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,1,1,7932,6,0.0044061402990790369,0.23240294917845317,1.8592235934276253,0.46480589835690633
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,1,1,7932,7,0.0044061883915811253,0.23240041255533919,1.8592033004427135,0.46480082511067838
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,1,1,7932,8,0.0044062653395844659,0.23239635407353126,1.8591708325882501,0.46479270814706253
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,1,1,7932,9,0.0044061037487774504,0.23240487704905416,1.8592390163924333,0.46480975409810832
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,1,1,7932,10,0.0044062893858355101,0.23239508582703572,1.8591606866162858,0.46479017165407144
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,1,1,7932,11,0.0044059464862956218,0.23241317233086645,1.8593053786469316,0.46482634466173289
