format,family,bits,arithmetic,distribution,kernel,strategy,samples,median_ms,minimum_ms,maximum_ms
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,full_lut_global,30,0.524560005,0.521824002,0.52867198
fp16_e5m10,ieee,16,fp64,field_balanced_finite,dot,native_scalar,30,0.500479996,0.498239994,0.503808022
fp16_e5m10,ieee,16,fp64,field_balanced_finite,gemv,full_lut_global,30,0.184912004,0.179775998,0.189408004
fp16_e5m10,ieee,16,fp64,field_balanced_finite,gemv,native_scalar,30,0.118319999,0.117247999,0.121983998
fp16_e5m10,ieee,16,fp64,paired_log_uniform_finite,dot,full_lut_global,30,0.746399999,0.74140799,0.751232028
fp16_e5m10,ieee,16,fp64,paired_log_uniform_finite,dot,native_scalar,30,0.500463993,0.497215986,0.50624001
fp16_e5m10,ieee,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,30,0.662447989,0.656736016,0.671487987
fp16_e5m10,ieee,16,fp64,paired_log_uniform_finite,gemv,native_scalar,30,0.118303999,0.117472,0.120959997
fp32_e8m23,ieee,32,fp32,field_balanced_finite,dot,native_scalar,30,0.520063996,0.517472029,0.523039997
fp32_e8m23,ieee,32,fp32,field_balanced_finite,gemv,native_scalar,30,0.122175999,0.121344,0.125535995
fp32_e8m23,ieee,32,fp32,paired_log_uniform_finite,dot,native_scalar,30,0.520144016,0.517759979,0.523584008
fp32_e8m23,ieee,32,fp32,paired_log_uniform_finite,gemv,native_scalar,30,0.122191999,0.121247999,0.124480002
fp32_e8m23,ieee,32,fp64,field_balanced_finite,dot,native_scalar,30,0.525663972,0.523424029,0.528800011
fp32_e8m23,ieee,32,fp64,field_balanced_finite,gemv,native_scalar,30,0.123935997,0.123199999,0.127583995
fp32_e8m23,ieee,32,fp64,paired_log_uniform_finite,dot,native_scalar,30,0.526495993,0.523808002,0.530623972
fp32_e8m23,ieee,32,fp64,paired_log_uniform_finite,gemv,native_scalar,30,0.124159999,0.123264,0.126880005
fp8_e4m3,ieee,8,fp32,field_balanced_finite,dot,full_lut_global,30,0.499664009,0.497664005,0.502752006
fp8_e4m3,ieee,8,fp32,field_balanced_finite,dot,full_lut_shared,30,0.488912001,0.48665601,0.491584003
fp8_e4m3,ieee,8,fp32,field_balanced_finite,dot,native_scalar,30,0.476400003,0.474016011,0.479328007
fp8_e4m3,ieee,8,fp32,field_balanced_finite,gemv,full_lut_global,30,0.120143999,0.118943997,0.121344
fp8_e4m3,ieee,8,fp32,field_balanced_finite,gemv,full_lut_shared,30,0.116512001,0.115616001,0.118624002
fp8_e4m3,ieee,8,fp32,field_balanced_finite,gemv,native_scalar,30,0.113135998,0.112032004,0.116191998
fp8_e4m3,ieee,8,fp32,lut_concentrated_control,dot,full_lut_global,30,0.498847991,0.495584011,0.500864029
fp8_e4m3,ieee,8,fp32,lut_concentrated_control,dot,full_lut_shared,30,0.488608003,0.486368001,0.490848005
fp8_e4m3,ieee,8,fp32,lut_concentrated_control,gemv,full_lut_global,30,0.119951997,0.118911996,0.121600002
fp8_e4m3,ieee,8,fp32,lut_concentrated_control,gemv,full_lut_shared,30,0.115952,0.114848003,0.117760003
