mode,stage,kernel,family,k,observed_instructions,n,rows,cols,storage,arithmetic,left_seed,right_seed,round,order,ms,result,valid,job_id,node
full,initial,dot,add32f,8,8,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,36,0.281823993,3.0947776345218447e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,fma32f,24,24,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,37,0.199039996,3.1103127760242032e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,fp32_to_fp64,0,0,67108864,0,0,float32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,38,0.268575996,3.0947540227645881e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,mul32f,32,32,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,39,0.331360012,3.114626270591475e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,mul32f,24,24,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,40,0.194335997,3.1102416755572741e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,raw_fp32,0,0,67108864,0,0,float32,fp32,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,41,0.264928013,3.0947541751442674e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,fma32f,32,32,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,42,0.331743985,3.1147211771942209e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,rot32,32,32,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,43,0.482143998,3.0947540227645881e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,add32f,2,2,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,44,0.129951999,3.0953524737228929e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,fma32f,1,1,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,45,0.274879992,3.095376059240828e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
